Kolom,Tipe,Peran,Satuan,Range,Keterangan
user_id,INT,Identifier,-,-,ID unik pengguna
date,DATE,Temporal,-,-,Tanggal pencatatan aktivitas
is_weekend,INT,Temporal,biner,0–1,"0=hari kerja, 1=weekend (rename dari workday)"
sleep_duration,FLOAT,Feature LSTM,jam,0–12,Durasi tidur malam
study_work_duration,FLOAT,Feature LSTM,jam,0–16,Total jam belajar/bekerja
task_completed,INT,Feature LSTM,count,0–20,Jumlah task diselesaikan (rename dari tasks_completed)
exercise_duration,FLOAT,Feature LSTM,menit,0–300,Durasi olahraga (rename dari physical_activity_duration)
downtime_duration,FLOAT,Feature LSTM,jam,0–16,Screen time santai (rename dari screen_time_duration)
stress_level,INT,Feature LSTM,skala,1–10,Tingkat stres harian
mood_score,INT,Feature LSTM,skala,1–10,Skor suasana hati
focus_score,INT,Feature LSTM,skala,1–10,Tingkat fokus
break_duration,FLOAT,Feature LSTM,jam,0–6,[FE] Estimasi jam istirahat (16 - kerja - exercise - downtime)
task_planned,INT,Konteks,count,3–15,[FE] Estimasi task direncanakan (1.2 × work_duration)
completion_ratio,FLOAT,Derived,rasio,0–1,[FE] task_completed / task_planned
fatigue_index,FLOAT,Feature LSTM,skor,0–100,"[FE] Skor kelelahan harian (stress 40%, work 30%, downtime 20%, sleep deficit 10%)"
cumulative_fatigue,FLOAT,Feature LSTM,skor,0–100,[FE] Akumulasi kelelahan dengan EWM decay 10%/hari
productivity_score,FLOAT,Target LSTM,skor,0–100,[FE] Skor produktivitas harian (weighted sum 8 fitur + rolling 3 hari)
productivity_label,INT,Label,-,0/1/2,"[FE] Kelas produktivitas: <55=0 (At Risk), 55–70=1 (Steady), ≥70=2 (Thriving)"
